time,m1,m2,m3,p1,p2,p3
2.52,4,12,15,12,6,16
2.525,4,12,15,11,6,16
2.53,4,12,15,12,7,17
2.535,4,12,15,12,5,17
2.54,4,12,15,11,6,17
2.545,4,12,15,10,7,17
2.55,4,12,15,10,7,17
2.555,4,12,15,9,8,17
2.56,4,12,15,9,6,17
2.565,4,13,15,10,6,17
2.57,4,13,15,10,6,18
2.575,4,13,15,10,6,20
2.58,4,13,15,10,6,21
2.585,4,13,15,9,6,21
2.59,4,12,15,9,7,21
2.595,4,12,15,10,8,21
2.6,4,12,15,9,9,22
2.605,4,12,15,9,8,21
2.61,4,12,15,9,7,19
2.615,4,12,15,8,7,19
2.62,4,12,14,8,7,18
2.625,4,12,13,8,7,18
2.63,4,12,13,8,8,17
2.635,4,11,13,8,8,18
2.64,4,11,13,7,8,18
2.645,4,11,13,7,8,17
2.65,4,10,13,7,8,16
2.655,4,10,14,6,8,15
2.66,4,10,14,5,7,15
2.665,4,9,14,5,7,15
2.67,4,9,14,5,8,14
2.675,4,9,14,5,8,14
2.68,4,9,13,5,7,14
2.685,4,9,13,5,7,14
2.69,4,9,13,5,7,14
2.695,4,9,13,4,7,14
2.7,4,9,14,5,7,14
2.705,5,9,13,5,8,13
2.71,5,9,13,5,7,11
2.715,5,9,13,5,7,11
2.72,5,9,13,5,7,12
2.725,6,9,13,5,7,12
2.73,6,9,13,5,7,12
2.735,6,10,13,5,7,11
2.74,6,10,13,5,8,12
2.745,7,10,14,5,8,12
2.75,7,11,14,5,8,9
2.755,7,11,14,5,8,9
2.76,6,11,13,5,8,8
2.765,7,11,13,5,7,8
2.77,7,11,13,5,6,8
2.775,7,10,13,5,6,7
2.78,7,10,14,6,6,7
2.785,7,10,14,5,6,7
2.79,8,11,13,5,7,7
2.795,8,11,13,5,7,7
2.8,9,11,13,4,7,7
2.805,9,11,13,6,7,7
2.81,9,11,12,6,8,7
2.815,9,11,12,6,8,8
2.82,9,11,12,6,7,8
2.825,10,11,12,6,9,9
2.83,10,11,12,7,9,9
2.835,10,11,11,6,8,9
2.84,10,11,11,5,8,9
2.845,11,11,11,5,8,9
2.85,11,11,11,6,8,8
2.855,11,11,11,6,8,7
2.86,12,11,11,8,8,7
2.865,13,11,10,9,8,8
2.87,13,12,10,9,9,9
2.875,13,12,10,8,10,9
2.88,13,12,10,8,11,9
2.885,13,12,10,10,11,8
2.89,13,13,10,11,11,8
2.895,13,13,10,11,10,8
2.9,13,13,10,11,10,8
2.905,13,13,10,12,9,8
2.91,13,13,10,13,9,8
2.915,13,13,10,13,9,8
2.92,13,13,10,13,9,8
2.925,12,13,10,15,10,8
2.93,12,13,12,16,10,10
2.935,12,13,12,15,10,10
2.94,11,13,12,14,11,11
2.945,10,13,12,14,11,12
2.95,10,14,12,12,11,13
2.955,10,14,12,12,11,13
2.96,10,14,12,12,11,13
2.965,10,14,12,13,11,14
2.97,10,14,12,12,11,14
2.975,10,14,12,11,11,15
2.98,10,14,12,13,11,17
2.985,10,14,12,13,11,18
2.99,10,14,12,12,10,18
2.995,10,14,12,12,10,18
3,10,14,12,12,10,18
3.005,10,14,12,12,10,18
3.01,10,14,12,13,10,17
3.015,10,14,12,13,9,18
3.02,10,14,12,14,9,18
3.025,10,14,12,14,10,14
3.03,10,14,11,13,11,14
3.035,10,14,11,12,12,14
3.04,10,14,11,13,12,14
3.045,10,14,11,13,11,13
3.05,10,13,11,13,10,12
3.055,10,13,11,13,10,12
3.06,10,13,11,13,10,11
3.065,10,13,11,13,10,11
3.07,10,13,11,14,10,12
3.075,10,13,11,14,10,12
3.08,10,13,11,13,10,11
3.085,10,13,11,12,10,11
3.09,10,13,11,12,9,11
3.095,10,13,11,12,8,12
3.1,10,13,11,12,8,12
3.105,10,12,11,13,8,12
3.11,11,12,11,14,9,12
3.115,11,12,11,14,9,11
3.12,11,12,11,15,9,12
3.125,11,12,11,15,8,12
3.13,11,12,11,14,8,12
3.135,10,12,11,14,8,12
3.14,10,12,11,15,8,11
3.145,10,12,11,15,9,11
3.15,10,12,11,15,9,12
3.155,10,12,11,15,10,14
3.16,10,12,11,15,9,12
3.165,10,11,11,16,9,12
3.17,10,11,11,16,9,12
3.175,10,11,11,16,9,12
3.18,10,11,10,15,9,12
3.185,9,11,10,15,9,11
3.19,9,11,10,13,10,11
3.195,9,11,10,13,10,11
3.2,9,11,10,13,10,11
3.205,9,12,10,13,10,10
3.21,9,11,10,13,10,9
3.215,9,11,10,14,10,9
3.22,9,12,10,14,9,9
3.225,9,12,11,13,9,9
3.23,9,12,11,13,10,9
3.235,9,12,11,13,11,7
3.24,9,12,11,12,11,6
3.245,9,12,11,12,10,6
3.25,9,12,11,12,10,6
